flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
544146.0,20.709057,0,0.0013778687,659.3589945609864,250.29836791594593,1201,528538.44,19.91233,2264.6936,1.2343096,544146.0,20.709057,0,,,,,659.3589945609864,3.5012374e-05,250.29836791594593,5.2812476e-05,0.00790891,0.03714877
544101.06,20.68637,0,0.0013784572,659.3592089130425,250.2981925673854,1202,528450.75,19.91051,2263.3389,1.2325821,544101.06,20.68637,0,,,,,659.3592089130425,3.5014626e-05,250.2981925673854,5.2824857e-05,0.008134217,0.03686193
544159.06,20.691504,0,0.0013790455,659.3591200553305,250.29768515154964,1203,528498.4,19.911427,2264.6814,1.2332536,544159.06,20.691504,0,,,,,659.3591200553305,3.501418e-05,250.29768515154964,5.282164e-05,0.007992299,0.036412615
544112.8,20.695917,0,0.0013796338,659.358997007405,250.29764876013644,1204,528458.0,19.91098,2266.314,1.2329367,544112.8,20.695917,0,,,,,659.358997007405,3.5017627e-05,250.29764876013644,5.2834683e-05,0.007861047,0.03631318
544109.8,20.696661,0,0.001380222,659.359342776952,250.2981266293719,1205,528465.5,19.91137,2269.448,1.2344044,544109.8,20.696661,0,,,,,659.359342776952,3.501744e-05,250.2981266293719,5.282209e-05,0.008169344,0.03698098
544115.9,20.69757,0,0.0013808103,659.3591870327282,250.29838437635294,1206,528486.56,19.911331,2260.9207,1.2356586,544115.9,20.69757,0,,,,,659.3591870327282,3.5013374e-05,250.29838437635294,5.281831e-05,0.008076507,0.03722732
544115.94,20.685205,0,0.0013813983,659.3590776966819,250.29790373762273,1207,528430.7,19.910816,2262.7717,1.2336307,544115.94,20.685205,0,,,,,659.3590776966819,3.5028832e-05,250.29790373762273,5.28358e-05,0.007979687,0.036575317
544145.0,20.686995,0,0.0013819864,659.3591021168365,250.29771429807317,1208,528477.25,19.91094,2262.077,1.2324482,544145.0,20.686995,0,,,,,659.3591021168365,3.5013778e-05,250.29771429807317,5.2822455e-05,0.007989067,0.036495987
544077.9,20.692183,0,0.0013825743,659.3592912076775,250.29748203227825,1209,528403.0,19.909704,2260.591,1.231454,544077.9,20.692183,0,,,,,659.3592912076775,3.5018842e-05,250.29748203227825,5.2831616e-05,0.008071663,0.036288682
544121.44,20.701145,0,0.0013831622,659.359182306434,250.2977538178552,1210,528487.5,19.911156,2264.0303,1.2308953,544121.44,20.701145,0,,,,,659.359182306434,3.501407e-05,250.2977538178552,5.281823e-05,0.008116461,0.03661422
544153.1,20.6879,0,0.00138375,659.3590621602827,250.29766786377013,1211,528476.75,19.910738,2260.588,1.2305534,544153.1,20.6879,0,,,,,659.3590621602827,3.5013152e-05,250.29766786377013,5.2825348e-05,0.007983244,0.036448143
